name,meaning
감정,"법관의 판단능력을 보충하기 위하여 전문적 지식과 경험을 가진 전문가로 하여금 사실관계에 대한 판단을 하고 법원에 보고하게 하는 증거조사방법. 건축물 관련사건의 하자감정, 기성고 감정 등이 있음."
현장검증,"법관이 직접 사건의 현장에 나가서 보고, 듣는 방법으로 증거를 조사하는 것. 당사자가 현장검증을 신청하면 판사는 지정된 기일에 현장에서 당사자들이 참석한 가운데 증거를 조사하게 됨."
증거신청,일정한 사실을 증명하기 위하여 일정한 증거방법(증인이나 문서 등)을 지정하여 법원에 그 조사를 청구하는 소송행위임.
추후지정,법률상 소송절차를 진행할 수 없거나(소송절차의 중단&#8228;중지 등) 관련사건의 변론이나 감정결과 등을 기다려야 하는 특별한 사정이 있는 경우에 기일을 정하지 아니하고 대기하는 것. 재판계속 중에 기일이 추후지정으로 된 경우에는 그 뒤에 다시 당사자들에게 기일이 통지됨.
쌍불,"양쪽 당사자가 모두 기일에 불출석한 경우, 양쪽 당사자가 모두 출석하였으나 변론을 하지 않은 경우 또는 당사자 중 일방은 불출석하고 다른 일방은 출석하였으나 출석한 당사자가 변론하지 않은 경우에 기일의 불출석 이른바 쌍불의 효과가 발생함. 민사소송에서 2회 쌍불이 된 후 법령이 정한 기간 이내에 기일지정의 신청을 하지 않는 경우 소취하의 효과가 발생함."
반소,"소송이 계속된 중에 피고가 당해 소송절차를 이용하여 원고를 상대로 제기하는 소를 말함. 원고가 처음에 제기한 소를 ‘본소’라고 하고 그 뒤에 피고가 제기한 소를 ‘반소’라고 하며, 본소와 반소는 함께 변론기일을 열고 판결도 함께 선고됨."
청구의 인낙,피고가 법원에 대하여 원고의 청구가 이유 있음을 스스로 인정하는 것. 피고가 청구의 인낙을 하게 되면 원고가 청구한 내용대로 판결의 효력이 발생함.
청구의 포기,"원고가 법원에 대하여 자신의 청구가 이유 없음을 스스로 인정하는 것. 원고가 소송계속 중에 청구포기의 의사를 표시하면 소송이 종료하고, 그 뒤에 동일한 사안에 대하여 소를 제기할 수 없음."
무변론판결,"피고가 원고의 청구를 다투는 때에는 소장 부본을 송달받은 날부터 30일 안에 답변서를 제출하여야 하는데, 30일 동안의 답변서 제출기한 내에 답변서를 제출하지 아니하거나 피고가 청구원인 사실을 모두 자백하는 취지의 답변서를 제출한 경우 판사가 변론을 하지 않고 바로 판결 선고기일을 지정하는 것을 말함."
변론,"변론(재판)기일에 법정에서 양쪽 당사자가 서면이나 구두로 판결의 기초가 될 소송자료, 즉 사실의 주장과 증거를 제출하는 방법으로 공격과 방어를 하면서 소송을 진행하는 절차를 말함."
변론준비기일,"일정기간 내에 당사자의 주장과 증거를 모두 제출하게 하여 소송관계에 있는 쟁점을 정리하게 하고, 이후에 제출하는 증거 등에 대하여는 원칙적으로 후일의 변론에서 제출할 수 없는 제한을 두어 변론이 효율적이고 집중적으로 실시될 수 있도록 하는 제도를 말함."
발송송달,보충송달이나 유치송달의 방법으로도 송달할 수 없는 때와 당사자·법정대리인 또는 소송대리인이 송달받을 장소를 바꾸고도 법원에 신고하지 아니하여 달리 송달할 장소를 알 수 없을 때 법원사무관 등이 서류를 등기우편 등의 방법으로 발송하는 것.
공시송달,당사자의 주소 등 또는 근무 장소를 알 수 없는 경우 또는 외국에서 해야 할 송달에 관하여 민사소송법 제191조의 규정에 따를 수 없거나 이에 따라도 효력이 없을 것으로 인정되는 경우에 실시하는 송달을 말함. ☞ 민사소송법 제191조 : 외국에서 하여야 하는 송달은 재판장이 그 나라에 주재하는 대한민국의 대사·공사·영사 또는 그 나라의 관할 공공기관에 촉탁한다.
보정,흠결이 있는 부분을 고치거나 보충함.
준비서면,당사자가 변론에서 진술하고자 하는 사항을 기일 전에 미리 적어 법원에 제출하는 서면을 말함.
답변서,소장 부본을 송달받은 피고가 원고의 청구를 다투는 경우에 제출하는 최초의 서면으로서 소장 부본을 송달받은 날부터 30일 안에 제출하여야 함.
청구원인,원고가 주장하는 권리 또는 법률관계(소송물)의 성립원인인 사실
청구취지,"원고가 당해 소송에서 소로써 청구하는 판결의 주문 내용. 소장은 당사자에 관한 기재부분, 청구취지, 청구원인의 세 부분으로 구성됨."
